payroll_id,emp_id,pay_period,gross_pay,net_pay,tax_withheld
ID10000,ID10000,pay_period_0,gross_pay_0,net_pay_0,tax_withheld_0
ID10001,ID10001,pay_period_1,gross_pay_1,net_pay_1,tax_withheld_1
ID10002,ID10002,pay_period_2,gross_pay_2,net_pay_2,tax_withheld_2
ID10003,ID10003,pay_period_3,gross_pay_3,net_pay_3,tax_withheld_3
ID10004,ID10004,pay_period_4,gross_pay_4,net_pay_4,tax_withheld_4
ID10005,ID10005,pay_period_5,gross_pay_5,net_pay_5,tax_withheld_5
ID10006,ID10006,pay_period_6,gross_pay_6,net_pay_6,tax_withheld_6
ID10007,ID10007,pay_period_7,gross_pay_7,net_pay_7,tax_withheld_7
ID10008,ID10008,pay_period_8,gross_pay_8,net_pay_8,tax_withheld_8
ID10009,ID10009,pay_period_9,gross_pay_9,net_pay_9,tax_withheld_9
ID10010,ID10010,pay_period_10,gross_pay_10,net_pay_10,tax_withheld_10
ID10011,ID10011,pay_period_11,gross_pay_11,net_pay_11,tax_withheld_11
ID10012,ID10012,pay_period_12,gross_pay_12,net_pay_12,tax_withheld_12
ID10013,ID10013,pay_period_13,gross_pay_13,net_pay_13,tax_withheld_13
ID10014,ID10014,pay_period_14,gross_pay_14,net_pay_14,tax_withheld_14
ID10015,ID10015,pay_period_15,gross_pay_15,net_pay_15,tax_withheld_15
ID10016,ID10016,pay_period_16,gross_pay_16,net_pay_16,tax_withheld_16
ID10017,ID10017,pay_period_17,gross_pay_17,net_pay_17,tax_withheld_17
ID10018,ID10018,pay_period_18,gross_pay_18,net_pay_18,tax_withheld_18
ID10019,ID10019,pay_period_19,gross_pay_19,net_pay_19,tax_withheld_19
ID10020,ID10020,pay_period_20,gross_pay_20,net_pay_20,tax_withheld_20
ID10021,ID10021,pay_period_21,gross_pay_21,net_pay_21,tax_withheld_21
ID10022,ID10022,pay_period_22,gross_pay_22,net_pay_22,tax_withheld_22
ID10023,ID10023,pay_period_23,gross_pay_23,net_pay_23,tax_withheld_23
ID10024,ID10024,pay_period_24,gross_pay_24,net_pay_24,tax_withheld_24
ID10025,ID10025,pay_period_25,gross_pay_25,net_pay_25,tax_withheld_25
ID10026,ID10026,pay_period_26,gross_pay_26,net_pay_26,tax_withheld_26
ID10027,ID10027,pay_period_27,gross_pay_27,net_pay_27,tax_withheld_27
ID10028,ID10028,pay_period_28,gross_pay_28,net_pay_28,tax_withheld_28
ID10029,ID10029,pay_period_29,gross_pay_29,net_pay_29,tax_withheld_29
ID10030,ID10030,pay_period_30,gross_pay_30,net_pay_30,tax_withheld_30
ID10031,ID10031,pay_period_31,gross_pay_31,net_pay_31,tax_withheld_31
ID10032,ID10032,pay_period_32,gross_pay_32,net_pay_32,tax_withheld_32
ID10033,ID10033,pay_period_33,gross_pay_33,net_pay_33,tax_withheld_33
ID10034,ID10034,pay_period_34,gross_pay_34,net_pay_34,tax_withheld_34
ID10035,ID10035,pay_period_35,gross_pay_35,net_pay_35,tax_withheld_35
ID10036,ID10036,pay_period_36,gross_pay_36,net_pay_36,tax_withheld_36
ID10037,ID10037,pay_period_37,gross_pay_37,net_pay_37,tax_withheld_37
ID10038,ID10038,pay_period_38,gross_pay_38,net_pay_38,tax_withheld_38
ID10039,ID10039,pay_period_39,gross_pay_39,net_pay_39,tax_withheld_39
ID10040,ID10040,pay_period_40,gross_pay_40,net_pay_40,tax_withheld_40
ID10041,ID10041,pay_period_41,gross_pay_41,net_pay_41,tax_withheld_41
ID10042,ID10042,pay_period_42,gross_pay_42,net_pay_42,tax_withheld_42
ID10043,ID10043,pay_period_43,gross_pay_43,net_pay_43,tax_withheld_43
ID10044,ID10044,pay_period_44,gross_pay_44,net_pay_44,tax_withheld_44
ID10045,ID10045,pay_period_45,gross_pay_45,net_pay_45,tax_withheld_45
ID10046,ID10046,pay_period_46,gross_pay_46,net_pay_46,tax_withheld_46
ID10047,ID10047,pay_period_47,gross_pay_47,net_pay_47,tax_withheld_47
ID10048,ID10048,pay_period_48,gross_pay_48,net_pay_48,tax_withheld_48
ID10049,ID10049,pay_period_49,gross_pay_49,net_pay_49,tax_withheld_49
ID10050,ID10050,pay_period_50,gross_pay_50,net_pay_50,tax_withheld_50
ID10051,ID10051,pay_period_51,gross_pay_51,net_pay_51,tax_withheld_51
ID10052,ID10052,pay_period_52,gross_pay_52,net_pay_52,tax_withheld_52
ID10053,ID10053,pay_period_53,gross_pay_53,net_pay_53,tax_withheld_53
ID10054,ID10054,pay_period_54,gross_pay_54,net_pay_54,tax_withheld_54
ID10055,ID10055,pay_period_55,gross_pay_55,net_pay_55,tax_withheld_55
ID10056,ID10056,pay_period_56,gross_pay_56,net_pay_56,tax_withheld_56
ID10057,ID10057,pay_period_57,gross_pay_57,net_pay_57,tax_withheld_57
ID10058,ID10058,pay_period_58,gross_pay_58,net_pay_58,tax_withheld_58
ID10059,ID10059,pay_period_59,gross_pay_59,net_pay_59,tax_withheld_59
ID10060,ID10060,pay_period_60,gross_pay_60,net_pay_60,tax_withheld_60
ID10061,ID10061,pay_period_61,gross_pay_61,net_pay_61,tax_withheld_61
ID10062,ID10062,pay_period_62,gross_pay_62,net_pay_62,tax_withheld_62
ID10063,ID10063,pay_period_63,gross_pay_63,net_pay_63,tax_withheld_63
ID10064,ID10064,pay_period_64,gross_pay_64,net_pay_64,tax_withheld_64
ID10065,ID10065,pay_period_65,gross_pay_65,net_pay_65,tax_withheld_65
ID10066,ID10066,pay_period_66,gross_pay_66,net_pay_66,tax_withheld_66
ID10067,ID10067,pay_period_67,gross_pay_67,net_pay_67,tax_withheld_67
ID10068,ID10068,pay_period_68,gross_pay_68,net_pay_68,tax_withheld_68
ID10069,ID10069,pay_period_69,gross_pay_69,net_pay_69,tax_withheld_69
ID10070,ID10070,pay_period_70,gross_pay_70,net_pay_70,tax_withheld_70
ID10071,ID10071,pay_period_71,gross_pay_71,net_pay_71,tax_withheld_71
ID10072,ID10072,pay_period_72,gross_pay_72,net_pay_72,tax_withheld_72
ID10073,ID10073,pay_period_73,gross_pay_73,net_pay_73,tax_withheld_73
ID10074,ID10074,pay_period_74,gross_pay_74,net_pay_74,tax_withheld_74
ID10075,ID10075,pay_period_75,gross_pay_75,net_pay_75,tax_withheld_75
ID10076,ID10076,pay_period_76,gross_pay_76,net_pay_76,tax_withheld_76
ID10077,ID10077,pay_period_77,gross_pay_77,net_pay_77,tax_withheld_77
ID10078,ID10078,pay_period_78,gross_pay_78,net_pay_78,tax_withheld_78
ID10079,ID10079,pay_period_79,gross_pay_79,net_pay_79,tax_withheld_79
ID10080,ID10080,pay_period_80,gross_pay_80,net_pay_80,tax_withheld_80
ID10081,ID10081,pay_period_81,gross_pay_81,net_pay_81,tax_withheld_81
ID10082,ID10082,pay_period_82,gross_pay_82,net_pay_82,tax_withheld_82
ID10083,ID10083,pay_period_83,gross_pay_83,net_pay_83,tax_withheld_83
ID10084,ID10084,pay_period_84,gross_pay_84,net_pay_84,tax_withheld_84
ID10085,ID10085,pay_period_85,gross_pay_85,net_pay_85,tax_withheld_85
ID10086,ID10086,pay_period_86,gross_pay_86,net_pay_86,tax_withheld_86
ID10087,ID10087,pay_period_87,gross_pay_87,net_pay_87,tax_withheld_87
ID10088,ID10088,pay_period_88,gross_pay_88,net_pay_88,tax_withheld_88
ID10089,ID10089,pay_period_89,gross_pay_89,net_pay_89,tax_withheld_89
ID10090,ID10090,pay_period_90,gross_pay_90,net_pay_90,tax_withheld_90
ID10091,ID10091,pay_period_91,gross_pay_91,net_pay_91,tax_withheld_91
ID10092,ID10092,pay_period_92,gross_pay_92,net_pay_92,tax_withheld_92
ID10093,ID10093,pay_period_93,gross_pay_93,net_pay_93,tax_withheld_93
ID10094,ID10094,pay_period_94,gross_pay_94,net_pay_94,tax_withheld_94
ID10095,ID10095,pay_period_95,gross_pay_95,net_pay_95,tax_withheld_95
ID10096,ID10096,pay_period_96,gross_pay_96,net_pay_96,tax_withheld_96
ID10097,ID10097,pay_period_97,gross_pay_97,net_pay_97,tax_withheld_97
ID10098,ID10098,pay_period_98,gross_pay_98,net_pay_98,tax_withheld_98
ID10099,ID10099,pay_period_99,gross_pay_99,net_pay_99,tax_withheld_99
